id,name,year,VER001,VER002,VER005,VER056
11000,Berlin,1995,23252,17098,3718,6154
11000,Berlin,1996,21791,16083,3178,5708
11000,Berlin,1997,21206,16942,2160,4264
11000,Berlin,1998,18788,15494,1539,3294
11000,Berlin,1999,19703,16600,1473,3103
11000,Berlin,2000,19324,16186,1421,3138
11000,Berlin,2001,17592,14798,1311,2794
11000,Berlin,2002,17211,14573,1174,2638
11000,Berlin,2003,16272,13953,1076,2319
11000,Berlin,2004,16027,13734,1214,2293
11000,Berlin,2005,15940,13841,1136,2099
11000,Berlin,2006,16220,13988,1204,2232
11000,Berlin,2007,16768,14511,1233,2257
11000,Berlin,2008,17080,14897,1205,2183
11000,Berlin,2009,15742,13728,1104,2014
11000,Berlin,2010,14434,12561,1043,1873
11000,Berlin,2011,16148,14288,1088,1860
11000,Berlin,2012,16117,14266,1036,1851
11000,Berlin,2013,15545,13773,948,1772
11000,Berlin,2014,16449,14736,990,1713
11000,Berlin,2015,16793,14976,1143,1817
11000,Berlin,2016,16513,14686,1032,1827
11000,Berlin,2017,16532,14493,1233,2039
11000,Berlin,2018,16908,15122,0,1786
12053,"Frankfurt (Oder), Kreisfreie Stadt",1995,618,382,159,236
12053,"Frankfurt (Oder), Kreisfreie Stadt",1996,585,374,117,211
12053,"Frankfurt (Oder), Kreisfreie Stadt",1997,580,412,109,168
12053,"Frankfurt (Oder), Kreisfreie Stadt",1998,482,338,99,144
12053,"Frankfurt (Oder), Kreisfreie Stadt",1999,433,319,83,114
12053,"Frankfurt (Oder), Kreisfreie Stadt",2000,414,287,99,127
12053,"Frankfurt (Oder), Kreisfreie Stadt",2001,398,284,88,114
12053,"Frankfurt (Oder), Kreisfreie Stadt",2002,327,237,57,90
12053,"Frankfurt (Oder), Kreisfreie Stadt",2003,299,214,52,85
12053,"Frankfurt (Oder), Kreisfreie Stadt",2004,278,219,40,59
12053,"Frankfurt (Oder), Kreisfreie Stadt",2005,347,277,55,70
12053,"Frankfurt (Oder), Kreisfreie Stadt",2006,295,226,49,69
12053,"Frankfurt (Oder), Kreisfreie Stadt",2007,323,258,49,65
12053,"Frankfurt (Oder), Kreisfreie Stadt",2008,215,178,24,37
12053,"Frankfurt (Oder), Kreisfreie Stadt",2009,216,172,25,44
12053,"Frankfurt (Oder), Kreisfreie Stadt",2010,271,176,75,95
12053,"Frankfurt (Oder), Kreisfreie Stadt",2011,206,142,56,64
12053,"Frankfurt (Oder), Kreisfreie Stadt",2012,209,155,46,54
12053,"Frankfurt (Oder), Kreisfreie Stadt",2013,224,174,39,50
12053,"Frankfurt (Oder), Kreisfreie Stadt",2014,181,135,39,46
12053,"Frankfurt (Oder), Kreisfreie Stadt",2015,200,149,45,51
12053,"Frankfurt (Oder), Kreisfreie Stadt",2016,233,161,59,72
12053,"Frankfurt (Oder), Kreisfreie Stadt",2017,208,148,37,60
12053,"Frankfurt (Oder), Kreisfreie Stadt",2018,217,150,0,67
2000,Hamburg,1995,12079,9323,1981,2756
2000,Hamburg,1996,11374,8827,1775,2547
2000,Hamburg,1997,11738,9186,1789,2552
2000,Hamburg,1998,11781,9264,1869,2517
2000,Hamburg,1999,12255,9566,2055,2689
2000,Hamburg,2000,12430,9684,2114,2746
2000,Hamburg,2001,11978,9410,1972,2568
2000,Hamburg,2002,11757,9383,1782,2374
2000,Hamburg,2003,11302,9058,1702,2244
2000,Hamburg,2004,11038,8755,1770,2283
2000,Hamburg,2005,11201,8788,1991,2413
2000,Hamburg,2006,10591,8190,1977,2401
2000,Hamburg,2007,11016,8426,2186,2590
2000,Hamburg,2008,11232,8594,2206,2638
2000,Hamburg,2009,10517,8022,2115,2495
2000,Hamburg,2010,9528,7217,1987,2311
2000,Hamburg,2011,10101,7704,2003,2397
2000,Hamburg,2012,10050,7691,1958,2359
2000,Hamburg,2013,9857,7443,2059,2414
2000,Hamburg,2014,10088,7787,1921,2301
2000,Hamburg,2015,10252,7881,2030,2371
2000,Hamburg,2016,10325,7795,2138,2530
2000,Hamburg,2017,10097,7572,2169,2525
2000,Hamburg,2018,9995,7677,0,2318
5315,"Köln, Kreisfreie Stadt",1995,6714,4970,1295,1744
5315,"Köln, Kreisfreie Stadt",1996,6688,4976,1311,1712
5315,"Köln, Kreisfreie Stadt",1997,6863,5087,1360,1776
5315,"Köln, Kreisfreie Stadt",1998,6723,5054,1295,1669
5315,"Köln, Kreisfreie Stadt",1999,6990,5212,1419,1778
5315,"Köln, Kreisfreie Stadt",2000,7227,5191,1629,2036
5315,"Köln, Kreisfreie Stadt",2001,6867,4931,1586,1936
5315,"Köln, Kreisfreie Stadt",2002,6745,4890,1517,1855
5315,"Köln, Kreisfreie Stadt",2003,6592,4861,1428,1731
5315,"Köln, Kreisfreie Stadt",2004,6336,4704,1326,1632
5315,"Köln, Kreisfreie Stadt",2005,6251,4820,1202,1431
5315,"Köln, Kreisfreie Stadt",2006,6028,4605,1138,1423
5315,"Köln, Kreisfreie Stadt",2007,6346,4921,1135,1425
5315,"Köln, Kreisfreie Stadt",2008,6022,4672,1038,1350
5315,"Köln, Kreisfreie Stadt",2009,5899,4559,1069,1340
5315,"Köln, Kreisfreie Stadt",2010,5658,4398,1022,1260
5315,"Köln, Kreisfreie Stadt",2011,5947,4790,914,1157
5315,"Köln, Kreisfreie Stadt",2012,5909,4674,940,1235
5315,"Köln, Kreisfreie Stadt",2013,5592,4416,888,1176
5315,"Köln, Kreisfreie Stadt",2014,5616,4732,608,884
5315,"Köln, Kreisfreie Stadt",2015,5575,4673,629,902
5315,"Köln, Kreisfreie Stadt",2016,6168,5208,682,960
5315,"Köln, Kreisfreie Stadt",2017,6072,5051,778,1021
5315,"Köln, Kreisfreie Stadt",2018,6183,5130,0,1053
6412,"Frankfurt am Main, Kreisfreie Stadt",1995,4729,3213,1205,1516
6412,"Frankfurt am Main, Kreisfreie Stadt",1996,4297,2988,1009,1309
6412,"Frankfurt am Main, Kreisfreie Stadt",1997,4241,2962,987,1279
6412,"Frankfurt am Main, Kreisfreie Stadt",1998,4206,2952,1012,1254
6412,"Frankfurt am Main, Kreisfreie Stadt",1999,4616,3255,1090,1361
6412,"Frankfurt am Main, Kreisfreie Stadt",2000,4402,3097,1045,1305
6412,"Frankfurt am Main, Kreisfreie Stadt",2001,4790,3315,1247,1475
6412,"Frankfurt am Main, Kreisfreie Stadt",2002,4500,3147,1113,1353
6412,"Frankfurt am Main, Kreisfreie Stadt",2003,4379,3061,1110,1318
6412,"Frankfurt am Main, Kreisfreie Stadt",2004,4380,3104,1099,1276
6412,"Frankfurt am Main, Kreisfreie Stadt",2005,4451,3175,1237,1276
6412,"Frankfurt am Main, Kreisfreie Stadt",2006,4737,3211,1350,1526
6412,"Frankfurt am Main, Kreisfreie Stadt",2007,4986,3253,1509,1733
6412,"Frankfurt am Main, Kreisfreie Stadt",2008,4423,3034,1160,1389
6412,"Frankfurt am Main, Kreisfreie Stadt",2009,4487,3071,1227,1416
6412,"Frankfurt am Main, Kreisfreie Stadt",2010,4241,2771,1265,1470
6412,"Frankfurt am Main, Kreisfreie Stadt",2011,4600,3133,1247,1467
6412,"Frankfurt am Main, Kreisfreie Stadt",2012,4142,2895,1028,1247
6412,"Frankfurt am Main, Kreisfreie Stadt",2013,4123,2813,1116,1310
6412,"Frankfurt am Main, Kreisfreie Stadt",2014,4309,3010,1107,1299
6412,"Frankfurt am Main, Kreisfreie Stadt",2015,4091,2983,931,1108
6412,"Frankfurt am Main, Kreisfreie Stadt",2016,3920,2975,760,945
6412,"Frankfurt am Main, Kreisfreie Stadt",2017,3847,2784,889,1063
6412,"Frankfurt am Main, Kreisfreie Stadt",2018,3845,2915,0,930
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",1995,3331,2184,877,1147
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",1996,3163,2013,902,1150
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",1997,3377,2187,958,1190
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",1998,3488,2401,872,1087
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",1999,3632,2558,852,1074
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2000,3716,2547,954,1169
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2001,3770,2686,888,1084
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2002,3589,2499,886,1090
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2003,3199,2301,698,898
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2004,3261,2291,765,970
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2005,3360,2456,734,904
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2006,3361,2413,765,948
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2007,3369,2468,736,901
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2008,3207,2294,767,913
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2009,2920,2109,651,811
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2010,2852,2057,664,795
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2011,3048,2224,688,824
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2012,3202,2303,765,899
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2013,2916,2097,731,819
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2014,3039,2273,642,766
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2015,3045,2238,679,807
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2016,2892,2066,695,826
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2017,2881,2108,664,773
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2018,2874,2114,0,760
9162,"München, Landeshauptstadt",1995,7321,5946,961,1375
9162,"München, Landeshauptstadt",1996,7135,5667,905,1468
9162,"München, Landeshauptstadt",1997,7564,6055,939,1509
9162,"München, Landeshauptstadt",1998,7297,6045,765,1252
9162,"München, Landeshauptstadt",1999,7389,6114,719,1275
9162,"München, Landeshauptstadt",2000,7457,6130,810,1327
9162,"München, Landeshauptstadt",2001,7624,6378,782,1246
9162,"München, Landeshauptstadt",2002,7248,6123,713,1125
9162,"München, Landeshauptstadt",2003,7122,5937,766,1185
9162,"München, Landeshauptstadt",2004,6721,5730,628,991
9162,"München, Landeshauptstadt",2005,6507,5398,801,1109
9162,"München, Landeshauptstadt",2006,6642,5548,789,1094
9162,"München, Landeshauptstadt",2007,6638,5721,628,917
9162,"München, Landeshauptstadt",2008,6390,5304,849,1086
9162,"München, Landeshauptstadt",2009,6337,5296,802,1041
9162,"München, Landeshauptstadt",2010,5935,4883,843,1052
9162,"München, Landeshauptstadt",2011,6622,5538,851,1084
9162,"München, Landeshauptstadt",2012,6572,5516,839,1056
9162,"München, Landeshauptstadt",2013,6626,5584,833,1042
9162,"München, Landeshauptstadt",2014,6607,5683,713,924
9162,"München, Landeshauptstadt",2015,6601,5634,761,967
9162,"München, Landeshauptstadt",2016,6399,5510,690,889
9162,"München, Landeshauptstadt",2017,6040,5290,518,750
9162,"München, Landeshauptstadt",2018,6471,5715,0,756
9184,"München, Landkreis",1995,1714,1286,357,428
9184,"München, Landkreis",1996,1717,1241,395,476
9184,"München, Landkreis",1997,1733,1268,382,465
9184,"München, Landkreis",1998,1756,1353,339,403
9184,"München, Landkreis",1999,1850,1419,342,431
9184,"München, Landkreis",2000,1973,1502,391,471
9184,"München, Landkreis",2001,2017,1539,399,478
9184,"München, Landkreis",2002,1844,1432,335,412
9184,"München, Landkreis",2003,1737,1402,267,335
9184,"München, Landkreis",2004,1655,1352,243,303
9184,"München, Landkreis",2005,1630,1310,263,320
9184,"München, Landkreis",2006,1677,1332,287,345
9184,"München, Landkreis",2007,1631,1324,254,307
9184,"München, Landkreis",2008,1566,1217,291,349
9184,"München, Landkreis",2009,1596,1240,306,356
9184,"München, Landkreis",2010,1505,1189,286,316
9184,"München, Landkreis",2011,1548,1242,255,306
9184,"München, Landkreis",2012,1526,1225,265,301
9184,"München, Landkreis",2013,1503,1231,237,272
9184,"München, Landkreis",2014,1436,1166,238,270
9184,"München, Landkreis",2015,1527,1237,245,290
9184,"München, Landkreis",2016,1456,1179,230,277
9184,"München, Landkreis",2017,1441,1180,204,261
9184,"München, Landkreis",2018,1531,1271,0,260
