"","id","name","year","AI1303","AI1302","AI1304","AI1305","VER001","VER002","VER005","VER056"
"1",10,"Saarland",1995,102.6,62.7,6.1,628.4,6803,5094,1288,1709
"2",10,"Saarland",2000,88.2,60,6.1,602.6,6423,4784,1358,1639
"3",10,"Saarland",2005,89.2,64.1,5.2,634.9,6749,5004,1441,1745
"4",10,"Saarland",2006,84.2,61.5,5.3,604.6,6435,4691,1431,1744
"5",10,"Saarland",2007,101.3,65.9,5.9,598,6851,4787,1777,2064
"6",10,"Saarland",2008,92.7,60.9,4.2,575.8,6291,4507,1513,1784
"7",10,"Saarland",2009,86.7,58,4.4,549.9,5953,4304,1454,1649
"8",10,"Saarland",2010,80.2,54.5,4,518.3,5561,4026,1302,1535
"9",10,"Saarland",2011,81.4,57.2,4,556.8,5717,4201,1218,1516
"10",10,"Saarland",2012,79.2,56.3,3.7,532.5,5612,4142,1210,1470
"11",10,"Saarland",2013,76.5,55,3.7,505.5,5457,3860,1352,1597
"12",10,"Saarland",2014,76.9,55.9,2.9,522.5,5536,3970,1311,1566
"13",10,"Saarland",2015,74.9,55.1,3.1,524.5,5463,4013,1192,1450
"14",10,"Saarland",2016,76.4,56.7,3.4,532.2,5647,4071,1290,1576
"15",10,"Saarland",2018,71.4,54.4,3.5,491,5396,3791,0,1605
"16",10,"Saarland",2017,NA,53,4.3,481.6,5279,3732,1264,1547
"17",10,"Saarland",1996,NA,NA,NA,NA,6780,5117,1247,1663
"18",10,"Saarland",1997,NA,NA,NA,NA,6571,5015,1200,1556
"19",10,"Saarland",1998,NA,NA,NA,NA,6786,5189,1274,1597
"20",10,"Saarland",1999,NA,NA,NA,NA,7000,5306,1343,1694
"21",10,"Saarland",2001,NA,NA,NA,NA,6771,4999,1432,1772
"22",10,"Saarland",2002,NA,NA,NA,NA,6726,4988,1431,1738
"23",10,"Saarland",2003,NA,NA,NA,NA,6919,4938,1615,1981
"24",10,"Saarland",2004,NA,NA,NA,NA,6924,4999,1566,1925
"25",11,"Berlin",1995,167.3,67,4.1,592.2,23252,17098,3718,6154
"26",11,"Berlin",2000,135.6,57.1,2.6,575,19324,16186,1421,3138
"27",11,"Berlin",2005,112.5,47,2,483.7,15940,13841,1136,2099
"28",11,"Berlin",2006,114.1,47.7,2.2,490.7,16220,13988,1204,2232
"29",11,"Berlin",2007,132.1,49.2,1.6,506.2,16768,14511,1233,2257
"30",11,"Berlin",2008,134.8,49.9,1.6,514.8,17080,14897,1205,2183
"31",11,"Berlin",2009,122.3,45.8,1.4,470.6,15742,13728,1104,2014
"32",11,"Berlin",2010,110.6,41.9,1.3,428.1,14434,12561,1043,1873
"33",11,"Berlin",2011,121.7,48.9,1.6,511.1,16148,14288,1088,1860
"34",11,"Berlin",2012,119.8,48.1,1.3,503,16117,14266,1036,1851
"35",11,"Berlin",2013,114.9,45.7,1.1,480.1,15545,13773,948,1772
"36",11,"Berlin",2014,120.2,47.7,1.5,506.1,16449,14736,990,1713
"37",11,"Berlin",2015,121,48,1.4,509.1,16793,14976,1143,1817
"38",11,"Berlin",2016,117.1,46.5,1.6,488.7,16513,14686,1032,1827
"39",11,"Berlin",2018,117.9,46.6,1.2,500.7,16908,15122,0,1786
"40",11,"Berlin",2017,NA,46,1,483.7,16532,14493,1233,2039
"41",11,"Berlin",1996,NA,NA,NA,NA,21791,16083,3178,5708
"42",11,"Berlin",1997,NA,NA,NA,NA,21206,16942,2160,4264
"43",11,"Berlin",1998,NA,NA,NA,NA,18788,15494,1539,3294
"44",11,"Berlin",1999,NA,NA,NA,NA,19703,16600,1473,3103
"45",11,"Berlin",2001,NA,NA,NA,NA,17592,14798,1311,2794
"46",11,"Berlin",2002,NA,NA,NA,NA,17211,14573,1174,2638
"47",11,"Berlin",2003,NA,NA,NA,NA,16272,13953,1076,2319
"48",11,"Berlin",2004,NA,NA,NA,NA,16027,13734,1214,2293
"49",12,"Brandenburg",1995,181,99.7,30.2,855.3,25324,16499,6959,8825
"50",12,"Brandenburg",2000,118.7,73.7,16.3,680.9,19178,13830,4290,5348
"51",12,"Brandenburg",2005,80.8,54.2,10.5,504,13888,10307,2899,3581
"52",12,"Brandenburg",2006,75.2,51.2,10.3,483,13068,9854,2584,3214
"53",12,"Brandenburg",2007,82.9,50.2,10.4,469.3,12768,9581,2556,3187
"54",12,"Brandenburg",2008,76.5,46.8,8.8,421.8,11837,8690,2608,3147
"55",12,"Brandenburg",2009,75.3,46.9,8,425,11805,8613,2695,3192
"56",12,"Brandenburg",2010,80.8,51.1,7.7,411.5,12809,8179,4138,4630
"57",12,"Brandenburg",2011,73.4,47.9,7.6,420.2,11765,8395,2922,3370
"58",12,"Brandenburg",2012,74.2,48.9,6.8,421.3,11984,8280,3262,3704
"59",12,"Brandenburg",2013,74,49.2,6.9,420.1,12059,8225,3374,3834
"60",12,"Brandenburg",2014,70.6,47.4,5.7,438.4,11641,8419,2756,3222
"61",12,"Brandenburg",2015,69.4,47,7.2,438,11617,8579,2609,3038
"62",12,"Brandenburg",2016,73,49.9,4.9,454.9,12429,8965,2999,3464
"63",12,"Brandenburg",2018,69.5,48.7,5.7,466.8,12225,9085,0,3140
"64",12,"Brandenburg",2017,NA,49.2,5.9,455.2,12288,8891,2936,3397
"65",12,"Brandenburg",1996,NA,NA,NA,NA,23852,15659,6395,8193
"66",12,"Brandenburg",1997,NA,NA,NA,NA,22538,15541,5365,6997
"67",12,"Brandenburg",1998,NA,NA,NA,NA,20666,14410,5029,6256
"68",12,"Brandenburg",1999,NA,NA,NA,NA,20792,14835,4798,5957
"69",12,"Brandenburg",2001,NA,NA,NA,NA,18177,13029,4118,5148
"70",12,"Brandenburg",2002,NA,NA,NA,NA,16019,11738,3426,4281
"71",12,"Brandenburg",2003,NA,NA,NA,NA,14945,11179,3015,3766
"72",12,"Brandenburg",2004,NA,NA,NA,NA,14063,10355,3010,3708
"73",13,"Mecklenburg-Vorpommern",1995,194.1,97.9,27.3,766.6,17903,10646,5868,7257
"74",13,"Mecklenburg-Vorpommern",2000,136.1,79.5,20.5,708.2,14169,9698,3463,4471
"75",13,"Mecklenburg-Vorpommern",2005,103.9,64.9,11.6,547,11109,7463,2993,3646
"76",13,"Mecklenburg-Vorpommern",2006,94.4,60,10.9,518.6,10206,6903,2685,3303
"77",13,"Mecklenburg-Vorpommern",2007,104.1,58.4,8.6,514.9,9858,6781,2516,3077
"78",13,"Mecklenburg-Vorpommern",2008,96.9,55.2,7.9,490.3,9223,6421,2262,2802
"79",13,"Mecklenburg-Vorpommern",2009,93.4,54.4,9.4,470.7,9005,6229,2254,2776
"80",13,"Mecklenburg-Vorpommern",2010,80,47.4,6.6,406.5,7804,5301,2042,2503
"81",13,"Mecklenburg-Vorpommern",2011,76.2,46.5,8.9,425.6,7498,5469,1573,2029
"82",13,"Mecklenburg-Vorpommern",2012,73.4,45.3,5.2,406.6,7262,5212,1605,2050
"83",13,"Mecklenburg-Vorpommern",2013,72.8,45.3,5,415.4,7233,5189,1632,2044
"84",13,"Mecklenburg-Vorpommern",2014,68.5,43,5.8,405.6,6871,5100,1401,1771
"85",13,"Mecklenburg-Vorpommern",2015,70.2,44.4,5.8,431.6,7124,5407,1331,1717
"86",13,"Mecklenburg-Vorpommern",2016,68.3,43.6,5.5,437.2,7022,5422,1222,1600
"87",13,"Mecklenburg-Vorpommern",2018,66.5,43.5,5.3,435.4,7013,5328,0,1685
"88",13,"Mecklenburg-Vorpommern",2017,NA,43.5,4.9,423.1,7005,5258,1393,1747
"89",13,"Mecklenburg-Vorpommern",1996,NA,NA,NA,NA,17101,10506,5258,6595
"90",13,"Mecklenburg-Vorpommern",1997,NA,NA,NA,NA,16446,10746,4415,5700
"91",13,"Mecklenburg-Vorpommern",1998,NA,NA,NA,NA,15677,10470,4169,5207
"92",13,"Mecklenburg-Vorpommern",1999,NA,NA,NA,NA,15814,10702,4019,5112
"93",13,"Mecklenburg-Vorpommern",2001,NA,NA,NA,NA,13814,9111,3783,4703
"94",13,"Mecklenburg-Vorpommern",2002,NA,NA,NA,NA,13081,8550,3679,4531
"95",13,"Mecklenburg-Vorpommern",2003,NA,NA,NA,NA,12420,8236,3381,4184
"96",13,"Mecklenburg-Vorpommern",2004,NA,NA,NA,NA,11445,7530,3153,3915
"97",14,"Sachsen",1995,150.5,79,14.2,572.8,36141,20478,12597,15663
"98",14,"Sachsen",2000,103.6,60.9,10,574.2,27050,19606,5806,7444
"99",14,"Sachsen",2005,88.6,55.7,6.8,472.9,23842,15922,6636,7920
"100",14,"Sachsen",2006,84.8,54.1,6.5,463.5,23052,15601,6297,7451
"101",14,"Sachsen",2007,94.8,53.7,5.6,473.7,22755,15767,5875,6988
"102",14,"Sachsen",2008,87.7,50.1,5.8,447.2,21089,14807,5288,6282
"103",14,"Sachsen",2009,83.8,48.7,4.6,431.9,20354,14252,5234,6102
"104",14,"Sachsen",2010,78.2,46.1,4,395.7,19155,12955,5364,6200
"105",14,"Sachsen",2011,78.5,47.7,4.8,431.4,19371,13853,4766,5518
"106",14,"Sachsen",2012,78.6,48.1,5.2,418.7,19475,13633,5029,5842
"107",14,"Sachsen",2013,74.7,45.9,4.7,399.9,18591,12955,4838,5636
"108",14,"Sachsen",2014,73.2,45.3,4.5,416,18335,13351,4244,4984
"109",14,"Sachsen",2015,72.6,45.1,4.7,418.5,18369,13504,4119,4865
"110",14,"Sachsen",2016,72.8,45.6,4,423.7,18605,13643,4250,4962
"111",14,"Sachsen",2018,70.8,45.2,4.9,429.8,18447,13842,0,4605
"112",14,"Sachsen",2017,NA,44.1,3.6,412.8,18017,13241,4051,4776
"113",14,"Sachsen",1996,NA,NA,NA,NA,32443,20434,9237,12009
"114",14,"Sachsen",1997,NA,NA,NA,NA,29646,19921,7305,9725
"115",14,"Sachsen",1998,NA,NA,NA,NA,27776,19350,6453,8426
"116",14,"Sachsen",1999,NA,NA,NA,NA,28721,20510,6353,8211
"117",14,"Sachsen",2001,NA,NA,NA,NA,26015,18614,5962,7401
"118",14,"Sachsen",2002,NA,NA,NA,NA,25931,17598,6944,8333
"119",14,"Sachsen",2003,NA,NA,NA,NA,25840,17290,7146,8550
"120",14,"Sachsen",2004,NA,NA,NA,NA,24300,15834,7208,8466
"121",15,"Sachsen-Anhalt",1995,168.3,85.1,19.9,677.9,23414,14451,6812,8963
"122",15,"Sachsen-Anhalt",2000,119.3,68.7,13.1,612.8,18101,12650,4180,5451
"123",15,"Sachsen-Anhalt",2005,98.3,61.2,9.7,528,15197,10444,3855,4753
"124",15,"Sachsen-Anhalt",2006,92.3,58.6,8.9,519.4,14389,10111,3480,4278
"125",15,"Sachsen-Anhalt",2007,103.4,59,8.8,539.5,14312,10178,3392,4134
"126",15,"Sachsen-Anhalt",2008,96.8,55.9,9.3,503.8,13403,9636,3049,3767
"127",15,"Sachsen-Anhalt",2009,90.8,53.5,6.9,479.8,12660,8952,3052,3708
"128",15,"Sachsen-Anhalt",2010,86.9,52,6.7,444,12193,8174,3395,4019
"129",15,"Sachsen-Anhalt",2011,82.3,50.8,7.9,462.6,11616,8395,2639,3221
"130",15,"Sachsen-Anhalt",2012,81.7,50.9,6.2,455.5,11545,8223,2754,3322
"131",15,"Sachsen-Anhalt",2013,80.8,50.8,6.2,451,11438,8083,2804,3355
"132",15,"Sachsen-Anhalt",2014,79.4,50.4,6.2,467.6,11298,8246,2564,3052
"133",15,"Sachsen-Anhalt",2015,77.4,49.5,6.5,468.2,11095,8213,2430,2882
"134",15,"Sachsen-Anhalt",2016,73.9,47.7,5.9,469.2,10679,8162,2019,2517
"135",15,"Sachsen-Anhalt",2018,66.6,44.1,6.3,465,9781,7955,0,1826
"136",15,"Sachsen-Anhalt",2017,NA,45,5.9,466.6,10030,8055,1551,1975
"137",15,"Sachsen-Anhalt",1996,NA,NA,NA,NA,22696,14312,6405,8384
"138",15,"Sachsen-Anhalt",1997,NA,NA,NA,NA,21093,14125,5233,6968
"139",15,"Sachsen-Anhalt",1998,NA,NA,NA,NA,20020,13556,4916,6464
"140",15,"Sachsen-Anhalt",1999,NA,NA,NA,NA,19916,13683,4760,6233
"141",15,"Sachsen-Anhalt",2001,NA,NA,NA,NA,16890,11620,4149,5270
"142",15,"Sachsen-Anhalt",2002,NA,NA,NA,NA,15661,11145,3503,4516
"143",15,"Sachsen-Anhalt",2003,NA,NA,NA,NA,15439,10900,3540,4539
"144",15,"Sachsen-Anhalt",2004,NA,NA,NA,NA,14764,10400,3555,4364
"145",16,"Thüringen",1995,145.8,78.2,16.3,637.7,19644,11937,6382,7707
"146",16,"Thüringen",2000,106.1,64.3,13.3,629,15701,11417,3444,4284
"147",16,"Thüringen",2005,85.1,55.5,8.4,495.5,13005,8893,3381,4112
"148",16,"Thüringen",2006,79.4,52.8,9.3,478.2,12266,8539,3078,3727
"149",16,"Thüringen",2007,91.2,54.1,8.1,488.7,12445,8588,3191,3857
"150",16,"Thüringen",2008,82,49.2,8.1,449.4,11219,7893,2694,3326
"151",16,"Thüringen",2009,80.2,49,6.6,427.8,11070,7456,3041,3614
"152",16,"Thüringen",2010,74.4,46.2,5.4,391.8,10349,6769,3059,3580
"153",16,"Thüringen",2011,71.9,46.1,6.9,419.7,10091,7114,2471,2977
"154",16,"Thüringen",2012,68.8,44.6,5.8,393.1,9700,6674,2506,3026
"155",16,"Thüringen",2013,64.3,41.9,5.6,369.2,9082,6296,2329,2786
"156",16,"Thüringen",2014,63.5,41.8,5.6,388.7,9025,6591,2033,2434
"157",16,"Thüringen",2015,65.1,43,5.3,414.9,9309,6870,2029,2439
"158",16,"Thüringen",2016,62.9,42,4.8,398.6,9081,6700,1956,2381
"159",16,"Thüringen",2018,61,41.7,4.7,403.4,8945,6757,0,2188
"160",16,"Thüringen",2017,NA,42.2,5.1,400.7,9086,6587,2084,2499
"161",16,"Thüringen",1996,NA,NA,NA,NA,18697,12012,5479,6685
"162",16,"Thüringen",1997,NA,NA,NA,NA,17704,11986,4409,5718
"163",16,"Thüringen",1998,NA,NA,NA,NA,16927,11760,4168,5167
"164",16,"Thüringen",1999,NA,NA,NA,NA,17213,12238,3984,4975
"165",16,"Thüringen",2001,NA,NA,NA,NA,15067,10882,3362,4185
"166",16,"Thüringen",2002,NA,NA,NA,NA,13510,9949,2789,3561
"167",16,"Thüringen",2003,NA,NA,NA,NA,13683,9867,3103,3816
"168",16,"Thüringen",2004,NA,NA,NA,NA,13389,9306,3377,4083
"169",1,"Schleswig-Holstein",1995,121.4,73.8,9.9,760.1,20056,15592,3544,4464
"170",1,"Schleswig-Holstein",2000,99.8,65.5,8,674,18236,14406,3105,3830
"171",1,"Schleswig-Holstein",2005,84.9,57.7,5.2,585.6,16327,13033,2795,3294
"172",1,"Schleswig-Holstein",2006,79.6,54.6,6.1,554.9,15454,12400,2588,3054
"173",1,"Schleswig-Holstein",2007,92.3,56,5.5,575.2,15875,12740,2628,3135
"174",1,"Schleswig-Holstein",2008,88.8,54.2,5.3,553.8,15360,12369,2510,2991
"175",1,"Schleswig-Holstein",2009,85.9,53.3,4.9,545.7,15091,12061,2528,3030
"176",1,"Schleswig-Holstein",2010,79.6,50.2,3.8,501.9,14218,10974,2803,3244
"177",1,"Schleswig-Holstein",2011,80.7,52.3,4.3,545.7,14655,11793,2419,2862
"178",1,"Schleswig-Holstein",2012,78.6,51.6,3.9,532.4,14457,11682,2353,2775
"179",1,"Schleswig-Holstein",2013,78.1,51.7,3.7,543.1,14528,11757,2357,2771
"180",1,"Schleswig-Holstein",2014,79,52.8,4.3,566.2,14908,12404,2056,2504
"181",1,"Schleswig-Holstein",2015,79.9,54,3.8,575.7,15371,12695,2249,2676
"182",1,"Schleswig-Holstein",2016,78.6,53.7,4,574.1,15403,12783,2187,2620
"183",1,"Schleswig-Holstein",2018,73.2,51.3,4.2,550,14829,12324,0,2505
"184",1,"Schleswig-Holstein",2017,NA,52.4,3.5,559.8,15127,12528,2214,2599
"185",1,"Schleswig-Holstein",1996,NA,NA,NA,NA,18240,14307,2996,3933
"186",1,"Schleswig-Holstein",1997,NA,NA,NA,NA,18379,14549,2947,3830
"187",1,"Schleswig-Holstein",1998,NA,NA,NA,NA,18249,14376,3136,3873
"188",1,"Schleswig-Holstein",1999,NA,NA,NA,NA,18860,14979,3185,3881
"189",1,"Schleswig-Holstein",2001,NA,NA,NA,NA,17483,13950,2845,3533
"190",1,"Schleswig-Holstein",2002,NA,NA,NA,NA,17695,14072,3028,3623
"191",1,"Schleswig-Holstein",2003,NA,NA,NA,NA,16986,13561,2866,3425
"192",1,"Schleswig-Holstein",2004,NA,NA,NA,NA,16268,12827,2877,3441
